gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team_kpm
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,4,Blue,bot,Teddy,T1,Miss Fortune,Syndra,LeBlanc,Rumble,Braum,Leona,2227,0,1,4,2,5,21,0,0,0,0,0,0,0,0,0.1347
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,5,Blue,sup,Effort,T1,Nautilus,Syndra,LeBlanc,Rumble,Braum,Leona,2227,0,0,4,3,5,21,0,0,0,0,0,0,0,0,0.1347
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,6,Red,top,Summit,SANDBOX Gaming,Aatrox,Lucian,Akali,Rek'Sai,Irelia,Camille,2227,1,5,1,8,21,5,0,0,0,0,0,0,0,0,0.5658
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,7,Red,jng,OnFleek,SANDBOX Gaming,Elise,Lucian,Akali,Rek'Sai,Irelia,Camille,2227,1,5,2,10,21,5,1,0,0,0,1,0,1,0,0.5658
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,8,Red,mid,FATE,SANDBOX Gaming,Qiyana,Lucian,Akali,Rek'Sai,Irelia,Camille,2227,1,7,1,6,21,5,0,0,0,0,1,1,0,0,0.5658
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,9,Red,bot,Leo,SANDBOX Gaming,Varus,Lucian,Akali,Rek'Sai,Irelia,Camille,2227,1,3,0,7,21,5,1,0,0,0,0,0,0,0,0.5658
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,10,Red,sup,GorillA,SANDBOX Gaming,Tahm Kench,Lucian,Akali,Rek'Sai,Irelia,Camille,2227,1,1,1,10,21,5,0,0,0,0,0,0,0,0,0.5658
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,100,Blue,team,,T1,,Syndra,LeBlanc,Rumble,Braum,Leona,2227,0,5,21,16,5,21,1,0,0,0,0,,,,0.1347
ESPORTSTMNT03/1241322,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241322?gameHash=8bb63bfe8f1f2baf,KeSPA,2020,,0,1/3/2020 9:00,2,9.24,200,Red,team,,SANDBOX Gaming,,Lucian,Akali,Rek'Sai,Irelia,Camille,2227,1,21,5,41,21,5,2,0,0,0,1,,,,0.5658
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,1,Blue,top,Roach,T1,Renekton,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,1,1,5,21,4,0,0,0,0,0,0,0,0,0.7364
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,2,Blue,jng,Cuzz,T1,Rek'Sai,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,3,1,5,21,4,0,0,0,0,0,0,0,0,0.7364
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,3,Blue,mid,Faker,T1,Mordekaiser,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,5,1,7,21,4,1,0,0,0,0,0,0,0,0.7364
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,4,Blue,bot,Teddy,T1,Xayah,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,11,0,4,21,4,3,1,1,0,0,0,0,0,0.7364
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,5,Blue,sup,Effort,T1,Rakan,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,1,1,13,21,4,0,0,0,0,0,0,0,1,0.7364
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,6,Red,top,Summit,SANDBOX Gaming,Aatrox,Lucian,Akali,Elise,Irelia,Orianna,1711,0,1,3,2,4,21,0,0,0,0,1,1,0,0,0.1403
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,7,Red,jng,OnFleek,SANDBOX Gaming,Sejuani,Lucian,Akali,Elise,Irelia,Orianna,1711,0,0,4,2,4,21,0,0,0,0,1,0,1,0,0.1403
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,8,Red,mid,Dove,SANDBOX Gaming,Azir,Lucian,Akali,Elise,Irelia,Orianna,1711,0,1,3,3,4,21,0,0,0,0,1,0,1,0,0.1403
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,9,Red,bot,Route,SANDBOX Gaming,Miss Fortune,Lucian,Akali,Elise,Irelia,Orianna,1711,0,2,5,2,4,21,1,0,0,0,1,0,1,0,0.1403
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,10,Red,sup,GorillA,SANDBOX Gaming,Nautilus,Lucian,Akali,Elise,Irelia,Orianna,1711,0,0,6,2,4,21,0,0,0,0,1,0,1,0,0.1403
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,100,Blue,team,,T1,,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,1711,1,21,4,34,21,4,4,1,1,0,0,,,,0.7364
ESPORTSTMNT03/1241324,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241324?gameHash=1e646fa29cfde447,KeSPA,2020,,0,1/3/2020 10:05,3,9.24,200,Red,team,,SANDBOX Gaming,,Lucian,Akali,Elise,Irelia,Orianna,1711,0,4,21,11,4,21,1,0,0,0,1,,,,0.1403
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,1,Blue,top,Roach,T1,Pantheon,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,0,4,2,4,17,0,0,0,0,0,0,0,0,0.1201
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,2,Blue,jng,Cuzz,T1,Elise,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,0,4,3,4,17,0,0,0,0,0,0,0,1,0.1201
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,3,Blue,mid,Faker,T1,Nautilus,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,2,3,1,4,17,0,0,0,0,0,0,0,0,0.1201
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,4,Blue,bot,Teddy,T1,Xayah,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,2,4,0,4,17,0,0,0,0,0,0,0,0,0.1201
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,5,Blue,sup,Effort,T1,Rakan,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,0,2,2,4,17,0,0,0,0,0,0,0,0,0.1201
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,6,Red,top,Summit,SANDBOX Gaming,Quinn,Lucian,Rek'Sai,Akali,Renekton,Qiyana,1999,1,4,1,6,17,4,1,0,0,0,0,0,0,0,0.5103
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,7,Red,jng,OnFleek,SANDBOX Gaming,Olaf,Lucian,Rek'Sai,Akali,Renekton,Qiyana,1999,1,8,0,3,17,4,1,1,1,1,1,0,1,0,0.5103
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,8,Red,mid,Dove,SANDBOX Gaming,Orianna,Lucian,Rek'Sai,Akali,Renekton,Qiyana,1999,1,2,0,12,17,4,0,0,0,0,0,0,0,0,0.5103
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,9,Red,bot,Leo,SANDBOX Gaming,Miss Fortune,Lucian,Rek'Sai,Akali,Renekton,Qiyana,1999,1,3,1,7,17,4,1,0,0,0,1,1,0,0,0.5103
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,10,Red,sup,GorillA,SANDBOX Gaming,Leona,Lucian,Rek'Sai,Akali,Renekton,Qiyana,1999,1,0,2,5,17,4,0,0,0,0,1,0,1,0,0.5103
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,100,Blue,team,,T1,,Rumble,Varus,LeBlanc,Aatrox,Syndra,1999,0,4,17,8,4,17,0,0,0,0,0,,,,0.1201
ESPORTSTMNT03/1241328,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241328?gameHash=f4aeafb0f17b08c3,KeSPA,2020,,0,1/3/2020 10:57,4,9.24,200,Red,team,,SANDBOX Gaming,,Lucian,Rek'Sai,Akali,Renekton,Qiyana,1999,1,17,4,33,17,4,3,1,1,1,1,,,,0.5103
ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,1/4/2020 5:33,1,9.24,1,Blue,top,Doran,DRX,Mordekaiser,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,1,5,1,3,21,0,0,0,0,0,0,0,0,0.0993
ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,1/4/2020 5:33,1,9.24,2,Blue,jng,Pyosik,DRX,Jarvan IV,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,0,5,1,3,21,0,0,0,0,0,0,0,0,0.0993
ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,1/4/2020 5:33,1,9.24,3,Blue,mid,Chovy,DRX,Ryze,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,1,3,2,3,21,0,0,0,0,0,0,0,0,0.0993
ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,1/4/2020 5:33,1,9.24,4,Blue,bot,Deft,DRX,Xayah,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,0,5,2,3,21,0,0,0,0,0,0,0,1,0.0993
ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,1/4/2020 5:33,1,9.24,5,Blue,sup,Keria,DRX,Rakan,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,1,3,1,3,21,0,0,0,0,0,0,0,0,0.0993
